code,similarity,nl
find Path -type f -name Regex | xargs -I {} rm -f {},find path -type f -name regex | xargs -i {} rm -f {},remov all file with _FILE extens from _FILE directori tree
ln -s $( pwd ) Regex,ln -s $( pwd ) regex,creat a symbol link name _REGEX to _FILE under current work directori
top -p $(pgrep --newest ProgramName),top -p $(pgrep --newest programname),use _REGEX to monitor newest instanc of programnam
read -r -p $( echo Regex ) Regex,read -r -p $( echo regex ) regex,read a line from standard input into variabl _REGEX ignor backslash escap and use prompt _FILE
mktemp -d,mktemp -d,creat temporari folder in tmpdir or in _DIRECTORY and store path to creat folder in _REGEX variabl
find /volume1/uploads -name *.mkv -exec /tmp/rename.sh {} ;,find /volume1/uploads -name *.mkv -exec /tmp/rename.sh {} ;,find all file end with _FILE in a folder and send them as an argument to a shell script
find Path,find path,search all file in current folder and assign them to a variabl
su -c source myfile; bash,su -c source myfile; bash,run command _REGEX as user root
w | cut -d Regex -f Number,w | cut -d regex -f number,save list of _FILE in user in system togeth with _REGEX header in _REGEX variabl
ping Regex | awk Program,ping regex | awk program,print a ping request and number of packet sent receiv and percentag lost for each ping request to _FILE
find Path -type d -name Regex,find path -type d -name regex,search in current folder for all directori with name _REGEX
find Path -maxdepth Quantity -type f -perm -Permission,find path -maxdepth quantity -type f -perm -permission,search current directori for all regular file execut by _REGEX _REGEX and _REGEX
comm -3 <( sort -u -n File ) <( sort -u -n File ),comm -3 <( sort -u -n file ) <( sort -u -n file ),extract ani line in _REGEX or _REGEX which not appear in other
 | tr Regex Regex, | tr regex regex,run command specifi by _REGEX replac space with newlin and save output to variabl _REGEX
split -l Quantity,split -l quantity,split standard input into file of at most _NUMBER line each
cat File | tr -d Regex | fold File,cat file | tr -d regex | fold file,remov all white space from _FILE and wrap each line to _NUMBER charact
find Path | xargs,find path | xargs,print all file or directori name without white space safeti under _FILE directori
join <( sort File ) <( sort File ),join <( sort file ) <( sort file ),join line in file _REGEX with line in file _REGEX if line share a common first word
shopt -s globstar,shopt -s globstar,enabl _REGEX shell option
df -P File | tail - Quantity | cut -d Regex -f Number,df -p file | tail - quantity | cut -d regex -f number,print sourc of file system contain _REGEX
grep -o Regex File | tr Regex Regex,grep -o regex file | tr regex regex,search for regex _REGEX in file _FILE and print match by replac newlin with comma
bzip2 -k -v File,bzip2 -k -v file,verbos compress all file on seventh and eighth depth level keep origin file in place
cal | awk Program,cal | awk program,print day of first tuesday in _TIMESPAN
chown -R Regex File,chown -r regex file,recurs chang owner to _REGEX of _REGEX
ln File Regex,ln file regex,creat a symbol link to _REGEX name _FILE
find Path -iname Regex,find path -iname regex,find file start with word _REGEX in current directori tree ignor case
who | awk {print $1} | xargs -n 1 id,who | awk {print $1} | xargs -n 1 id,print user and group inform of all user _FILE in
find Path ! Path -prune -or -print,find path ! path -prune -or -print,print local file without descend non-loc directori
find Path -iname Regex -print | xargs -I {} rm -r -f {},find path -iname regex -print | xargs -i {} rm -r -f {},delet recurs without prompt ani file or directori under current directori that case insensit match filenam _FILE
ls $( which Regex ) -a -l,ls $( which regex ) -a -l,print file inform of execut file of command _REGEX
find Path -maxdepth Quantity -name Regex -print,find path -maxdepth quantity -name regex -print,find all file and directori name _REGEX in maximum _NUMBER level down _FILE directori
find Path -lname Regex,find path -lname regex,search current directori tree for symlink whose content match pattern _FILE
rm File,rm file,recurs remov all file like _FILE in a current folder
echo ( `date -d $B +%s` - `date -d $A +%s`) / (24*3600) | bc -l,echo ( `date -d $b +%s` - `date -d $a +%s`) / (24*3600) | bc -l,print day between date _REGEX and _REGEX
find Path -name Regex -print -exec grep Regex {} \;,find path -name regex -print -exec grep regex {} \;,search _FILE file in current directori tree for string _REGEX
find Path -perm Permission,find path -perm permission,find all file and directori in entir file system for which owner at least _FILE permiss or group at least read permiss or other at least read permiss
w | awk {print $1} | xargs -I {} id {},w | awk {print $1} | xargs -i {} id {},print user and group inform for each _FILE in system user
mv -f File File,mv -f file file,move _FILE to docker contain _REGEX in path _FILE
find $x -type d -wholename * ! -wholename */@eaDir* > /tmp/mediaindex/$nn.dir,find $x -type d -wholename * ! -wholename */@eadir* > /tmp/mediaindex/$nn.dir,display all directori in specif path exclud those that are present in a path and save ouput to a file
find Path -size +Size -exec mv {} File +,find path -size +size -exec mv {} file +,find all file in current directori tree whose size is greater than _SIZE and move them to _REGEX folder
grep -o Regex File | sort | uniq -c | sort -n -r,grep -o regex file | sort | uniq -c | sort -n -r,list each uniqu charact in _REGEX prefix by number of occurr and sort from most frequent to least frequent
history -r Quantity,history -r quantity,append content of _FILE to current in-memori histori list
su --session-command=${OBJECTDB_HOME}/bin/objectdb.sh start $JAVA_USER,su --session-command=${objectdb_home}/bin/objectdb.sh start $java_user,run command _FILE _REGEX as user _REGEX
find Path -perm -Permission,find path -perm -permission,find all file under _FILE and below writabl by _REGEX and _REGEX
find Path -name Regex -type f -print,find path -name regex -type f -print,search _FILE directori tree for regular file name myfil
find Path -type f -name Regex,find path -type f -name regex,find all zip file in current folder
find Path -type f -exec grep Regex {} \;,find path -type f -exec grep regex {} \;,search a url in all regular file in a folder
cp --remove-destination $( readlink File ) File,cp --remove-destination $( readlink file ) file,chang symbol link _REGEX into a file
read -p $( echo -e Regex ) Regex,read -p $( echo -e regex ) regex,read a line from standard input into variabl _REGEX with prompt _REGEX follow by a newlin
read -e -p Regex Regex,read -e -p regex regex,read a line of standard input with prompt _REGEX and save it to variabl _REGEX
dirname -- Regex,dirname -- regex,save locat of file _REGEX in _REGEX variabl
find Path -name Regex | xargs -I {} grep Regex {},find path -name regex | xargs -i {} grep regex {},search for a function in all python file in current folder
for h in $(seq 1006 1008 | tac); do history -d $h; done,for h in $(seq 1006 1008 | tac); do history -d $h; done,delet command _NUMBER through _NUMBER from histori
ssh -S Path -O Regex Regex,ssh -s path -o regex regex,connect to _REGEX use connect share on _REGEX and request master to exit
find Path -ctime -Timespan,find path -ctime -timespan,find file on system creat dure _TIMESPAN
find Path -type f -size +Size | xargs -I {} du -s -h {},find path -type f -size +size | xargs -i {} du -s -h {},show disk use of all regular file in file system which are bigger than _SIZE
dig Regex,dig regex,make dns lookup for hostnam _FILE
head -16482 < file.in | tail -259 > file.out,head -16482 < file.in | tail -259 > file.out,write line _NUMBER through _NUMBER of _FILE to _FILE
find Path -L -type l,find path -l -type l,find broken symlink in current directori
rsync -n -v -r -a -L File File --exclude Regex,rsync -n -v -r -a -l file file --exclude regex,recurs archiv _DIRECTORY to _FILE exclud _FILE
mkdir Directory Directory,mkdir directory directory,make directori _REGEX and _REGEX
"/sbin/ifconfig | sed -ne $/127.0.0.1/ ! { s/^[ \t]*inet[ \t]\\{1,99\\}\\(addr:\\)\\{0,1\\}\\([0-9.]*\\)[ \t\/].*$/\\2/p; }","/sbin/ifconfig | sed -ne $/127.0.0.1/ ! { s/^[ \t]*inet[ \t]\\{1,99\\}\\(addr:\\)\\{0,1\\}\\([0-9.]*\\)[ \t\/].*$/\\2/p; }",get list of ip address of all network interfac
find Path -type f -exec sed -i Program {} +,find path -type f -exec sed -i program {} +,replac word foo to bar in all regular file in current folder
find data/ -print0 | tar --null -T - --create -f archive.tar,find data/ -print0 | tar --null -t - --create -f archive.tar,archiv all file and directori under _DIRECTORY into _FILE
alias -g X2=| cut -d' ' -f2,alias -g x2=| cut -d' ' -f2,set alia _REGEX for command _REGEX
find Path -type f -exec grep -l Regex {} +,find path -type f -exec grep -l regex {} +,search in all regular file of current folder for word _REGEX and display match file name
shopt | grep Regex,shopt | grep regex,find shell option with _REGEX in name
ifconfig,ifconfig,display status of current activ network interfac
find Path -name Regex,find path -name regex,show all file in current folder which word _REGEX
mount | grep Regex | sed Program File,mount | grep regex | sed program file,list drive of each _DIRECTORY disk mount point
cd $( cat File ),cd $( cat file ),chang to directori list in file _FILE
find Path -type d -name Regex,find path -type d -name regex,find all directori name _REGEX in current directori tree
find Path -type f \( -perm -Permission -or -perm -Permission \) -exec ls -l {} \;,find path -type f \( -perm -permission -or -perm -permission \) -exec ls -l {} \;,display a long list of all regular file in file system which set _PERMISSION bit or set _PERMISSION bit enabl
find Path -nouser -ls,find path -nouser -ls,find all file in current folder which not belong to ani user
df -P,df -p,report file system disk usag use posix output format
find Path -name Regex,find path -name regex,find file name _FILE in _FILE directori tree
find Path -name Regex -exec echo {} \;,find path -name regex -exec echo {} \;,list _FILE file resid in _DIRECTORY directori tree
find Path ! -group Regex,find path ! -group regex,display all file in folder _FILE which not belong to group test
grep -E -m Quantity -n Regex File | sed Program File | sed Program File | sed -f File Program,grep -e -m quantity -n regex file | sed program file | sed program file | sed -f file program,display entir content of _REGEX replac onli veri first instanc of _REGEX with _REGEX
tar -x -v -z -f File,tar -x -v -z -f file,extract _FILE with verbos output
find Path -name Regex -exec grep -H Regex {} \;,find path -name regex -exec grep -h regex {} \;,find which rubi file under current directori contain string _REGEX
grep -o Regex File | head -n Quantity,grep -o regex file | head -n quantity,limit number of result from grep to _NUMBER line
screen -d -m -L python test.py,screen -d -m -l python test.py,_FILE output of a command in _FILE everi _TIMESPAN
find Path -type f -print0 | xargs -0 -I {} rm {},find path -type f -print0 | xargs -0 -i {} rm {},find all regular file in _FILE folder and delet them
find Path -type d -exec chmod Permission {} \;,find path -type d -exec chmod permission {} \;,set permiss of all directori under _FILE to _NUMBER
find Path -xdev -samefile Regex,find path -xdev -samefile regex,find all hard link to _REGEX under _FILE directori
unset z,unset z,unset environ variabl _REGEX
find Path -name Regex -exec ls {} \;,find path -name regex -exec ls {} \;,list all _FILE file found in current directori tree
alias | grep my_previous_alias,alias | grep my_previous_alias,check previous alia in current list
find Path -iname Regex ! -size +Size,find path -iname regex ! -size +size,find all _FILE file and directori under home directori that are not greater than _SIZE in size
find Path -name Regex -not \( -path Regex -or -path Regex \),find path -name regex -not \( -path regex -or -path regex \),find all _FILE file which path neither _FILE nor _FILE
xmllint example.xml --xpath /config/*/@* | sed s| key|\nkey|g | nl,xmllint example.xml --xpath /config/*/@* | sed s| key|\nkey|g | nl,pars _FILE file _FILE and extract and number all _REGEX tag from _REGEX section
find `pwd` -perm 111 -type f | sort -r | xargs -n1 -I{} sh -c dirname {};basename {} | awk /^\// {dir=$0 ; if (dir != lastdir) {print;lastdir=dir}} !/^\// {print},find `pwd` -perm 111 -type f | sort -r | xargs -n1 -i{} sh -c dirname {};basename {} | awk /^\// {dir=$0 ; if (dir != lastdir) {print;lastdir=dir}} !/^\// {print},list everi directori under current directori with child execut file
find Path -name Regex -ls,find path -name regex -ls,list all sqlite file in current folder
find Path -group Regex -iname Regex,find path -group regex -iname regex,find all file in file system which belong to grep _REGEX and with name _REGEX
find Path -name Regex -print0,find path -name regex -print0,find all file and directori name _REGEX and print them with null charact as delimit instead of newlin
find Path -name Regex -print Path,find path -name regex -print path,find first file or directori name _REGEX under current directori and quit
find Path -name Regex -exec nano {} \;,find path -name regex -exec nano {} \;,find all file that name are filenam and open in nano text editor
cat file.txt | perl -ne s/foo/bar/g; | less,cat file.txt | perl -ne s/foo/bar/g; | less,display _FILE all occurr of _REGEX replac by _REGEX let user interact page through result
tr -s   < file | cut -d  -f4,tr -s   < file | cut -d  -f4,print _REGEX white space separ field in file _REGEX
mv File File -b -S Regex,mv file file -b -s regex,renam _REGEX to _REGEX and backup to _FILE if _REGEX exist
df -H,df -h,print file system disk space usag with size in power of _NUMBER
find Path ! -perm Permission,find path ! -perm permission,find all file under directori tree _FILE whose permiss are not _NUMBER
grep -r Regex File | tee >( wc -l ),grep -r regex file | tee >( wc -l ),recurs search for _REGEX and write output to consol follow by number of match line
ps aux | grep python csp_build.py | head -1 | tr -s   | cut -d   -f2 | xargs kill,ps aux | grep python csp_build.py | head -1 | tr -s   | cut -d   -f2 | xargs kill,kill process name _FILE
find . -type f -name *.txt -exec cat {} ;> all.txt,find . -type f -name *.txt -exec cat {} ;> all.txt,display content of all text file in current folder and save output to _FILE
find Path -name Regex | xargs -I {} wc -l {} | sort -r,find path -name regex | xargs -i {} wc -l {} | sort -r,count line in each of _FILE file in current folder with subfold and print total count as well
find Path -type d -regex Regex,find path -type d -regex regex,find all directori under _REGEX directori tree that match regex _FILE in path
find Path -size +Size -ok mv {} File File \;,find path -size +size -ok mv {} file file \;,find all file in current directori tree whose size is greater than _SIZE and move them to _REGEX folder with confirm
yum -h,yum -h,print help on _REGEX util
find Path -type f -exec chmod Permission {} \;,find path -type f -exec chmod permission {} \;,find all file under _DIRECTORY directori and chang permiss to _NUMBER
tar -c -z -f File File | split -b Size File Regex,tar -c -z -f file file | split -b size file regex,creat a compress archiv from _REGEX and split content into file of at most _SIZE and use prefix _FILE
"find . -name *FooBar* -exec sh -c cp -- ""$@"" ~/foo/bar sh {} +","find . -name *foobar* -exec sh -c cp -- ""$@"" ~/foo/bar sh {} +",find all _REGEX file and directori under current directori and copi them to _FILE
"find Path -maxdepth Quantity -type d -printf ""%P\n"" -exec tar -z -c -p -v -f File {} \;","find path -maxdepth quantity -type d -printf ""%p\n"" -exec tar -z -c -p -v -f file {} \;",archiv all directori in _FILE to file with _FILE extens
find Path -name Regex ! -name Regex -type d -print,find path -name regex ! -name regex -type d -print,search for directori that contain phrase _REGEX but not end in _FILE
find Path -type d,find path -type d,search current directori tree for directori
set | awk -F Regex Program | grep Regex,set | awk -f regex program | grep regex,list environ variabl whose name match _FILE
df -h File | cut -f Number -d Regex | tail - Quantity,df -h file | cut -f number -d regex | tail - quantity,print name of file system contain _REGEX
du -k -s File | sort -n -r,du -k -s file | sort -n -r,print kb size of all top-level file and folder in a current folder in descend order
find Path -name Regex -print,find path -name regex -print,find file in current directori and it sub-directori that begin with _REGEX
ifconfig | grep Regex | grep -v Regex | cut -d Regex -f Number | awk Program,ifconfig | grep regex | grep -v regex | cut -d regex -f number | awk program,get ip address of all activ network interfac
echo Regex | column -t | fold | column -t,echo regex | column -t | fold | column -t,print variabl _REGEX in format column with at most _NUMBER charact per line
node -pe JSON.parse(process.argv[1]).foo $(cat foobar.json),node -pe json.parse(process.argv[1]).foo $(cat foobar.json),run node express _FILE on content of _FILE
find Path -type f -exec grep -n Regex {} \; -print,find path -type f -exec grep -n regex {} \; -print,search regular file of current directori tree for string _REGEX
"find Path -type f -printf ""%s %p\n"" | sort -n -r | head -n Quantity","find path -type f -printf ""%s %p\n"" | sort -n -r | head -n quantity",find all file under current directori with size and path revers sort them numer print first _NUMBER entri
find Path -name Regex,find path -name regex,search current directori tree for _FILE file
find Path -perm +Permission,find path -perm +permission,find _PERMISSION file
find Path -name Regex,find path -name regex,find all file on system whose name are _FILE
find Path -name Regex | xargs -I {} rm {},find path -name regex | xargs -i {} rm {},find all _FILE file under and below _DIRECTORY directori and remov them
tail -n +Quantity File | split -l Quantity File Regex,tail -n +quantity file | split -l quantity file regex,split _FILE exclud first line into file with at most _NUMBER line each and a prefix _REGEX
find Path -type f -size +Size -name Regex,find path -type f -size +size -name regex,find all _FILE file under current directori that are larger than _SIZE in size
cat File | tar -x -z,cat file | tar -x -z,extract all gzip-compress file from tar archiv begin with _FILE
file File | grep Regex,file file | grep regex,list all file in current directori whose name or file type descript contain word _REGEX
find Path,find path,show a list of file not modifi in over _TIMESPAN or not access in over _TIMESPAN
getent group | cut -d: -f1,getent group | cut -d: -f1,print all group name known to system
hostname | cut -b Number,hostname | cut -b number,save first _NUMBER letter of system host name to variabl _REGEX
ssh example.com ps -elfc; ls,ssh example.com ps -elfc; ls,run _REGEX follow by _REGEX on host _FILE
tar -c -f File File | tar File File | awk Program | grep -v Regex,tar -c -f file file | tar file file | awk program | grep -v regex,creat and list filenam in archiv
sed Program,sed program,delet line contain _REGEX plus next _NUMBER line from standard input
dirname $( find Path -name Regex | grep Regex ),dirname $( find path -name regex | grep regex ),find all folder that contain _REGEX file and _FILE in path
unalias sudo,unalias sudo,remov alia with _REGEX name
make || exit $?,make || exit $?,if first command fail exit from script with exit code of fail command
read -p Regex Regex,read -p regex regex,read a line from standard input with prompt _REGEX and save respons to variabl _REGEX
rsync -c -h -a -v -z -P --stats File File,rsync -c -h -a -v -z -p --stats file file,archiv _FILE on host _FILE as user _REGEX to _FILE updat file with differ checksum show human readabl progress and statist and compress data dure transmiss
alias foo=$echo A \*' is born at $(date),alias foo=$echo a \*' is born at $(date),set alia _REGEX for command _REGEX
find . -name *.py -print0 | xargs -0 grep something > output.txt,find . -name *.py -print0 | xargs -0 grep something > output.txt,search for a pattern in all python file in current folder and save output to _FILE file _REGEX is use to handl file with newlin in name
find . -name *.txt | parallel -Xj1 --tty vim,find . -name *.txt | parallel -xj1 --tty vim,find all _FILE file in current directori tree and edit them with _REGEX
who -b,who -b,print time of last boot
chown Regex File,chown regex file,chang owner to _REGEX and group to _REGEX of _FILE
find Path -maxdepth Quantity -type f -not -path Regex | wc -l,find path -maxdepth quantity -type f -not -path regex | wc -l,find all regular file in folder _REGEX exclud all hidden file and display count
ps -u $( whoami ) | grep Regex,ps -u $( whoami ) | grep regex,search for _REGEX in all process own by current user
find Path -name Regex -exec rm {} \;,find path -name regex -exec rm {} \;,remov all _FILE file from _FILE directori tree
echo Regex | tr -s Regex Regex,echo regex | tr -s regex regex,print _REGEX by replac all consecut space charact with a singl newlin charact
/sbin/ifconfig $(netstat -nr | tail -1 | awk {print $NF}) | awk -F: /inet /{print $2} | cut -f1 -d  ,/sbin/ifconfig $(netstat -nr | tail -1 | awk {print $nf}) | awk -f: /inet /{print $2} | cut -f1 -d  ,get ip address of a primari network interfac
find Path -name Regex -type f -print,find path -name regex -type f -print,find all regular file on system whose name are _REGEX
w | head - Quantity | cut -d Regex -f Number | cut -d Regex -f Number | tr Regex Regex,w | head - quantity | cut -d regex -f number | cut -d regex -f number | tr regex regex,store system load averag number in _REGEX variabl
find -L Path ! -type l,find -l path ! -type l,display all soft link in a folder which are not broken
find . -name *.html -print0 | xargs -0 perl -pi -e s/oldstring/newstring/g,find . -name *.html -print0 | xargs -0 perl -pi -e s/oldstring/newstring/g,find all _FILE file in current folder and replac old string with new string
alias unix=date +%s,alias unix=date +%s,set alia _REGEX for command _REGEX
find Path ! -type d | xargs -I {} wc -c {} | tail - Quantity,find path ! -type d | xargs -i {} wc -c {} | tail - quantity,get total size of all file under _REGEX directori
uname -m,uname -m,set variabl _REGEX to machin architectur ie _REGEX
find Path -type f -ls | sort File | head - Quantity,find path -type f -ls | sort file | head - quantity,list file under current directori that oldest modif time
find Path -type f -size +Size -printf '%s %p\n' | sort -r -n,find path -type f -size +size -printf '%s %p\n' | sort -r -n,find all regular file under _REGEX directori tree that are bigger than _REGEX mb in size and print them along with size in decreas order of size
tree Directory,tree directory,display entir file system in a tree-lik format
git symbolic-ref HEAD 2>/dev/null | cut -d/ -f 3,git symbolic-ref head 2>/dev/null | cut -d/ -f 3,print git branch current check out in a work directori
find Path -name Regex -exec rm -f {} \;,find path -name regex -exec rm -f {} \;,find all core file in entir file system and delet them
find Path -mtime +Timespan,find path -mtime +timespan,display all trace file from folder _DIRECTORY which not been access in _TIMESPAN
who | cut -d Regex -f Number | sort -u,who | cut -d regex -f number | sort -u,save a uniqu list of current _FILE in usernam to variabl _REGEX
hostname -I | awk Program | cut -f Number -d Regex,hostname -i | awk program | cut -f number -d regex,save first _NUMBER octet of current host 's ip address to variabl _REGEX
find . -type f -print0 | xargs -0 cat > out.txt,find . -type f -print0 | xargs -0 cat > out.txt,display content of all regular file in current folder and save output to _FILE
find Path -name Regex -exec dirname {} \;,find path -name regex -exec dirname {} \;,find all file and directori name _FILE under _REGEX directori tree and print parent directori name
readlink -f File,readlink -f file,print absolut path of _REGEX
uname -s -r -v -m,uname -s -r -v -m,display current system 's kernel name kernel releas and version and machin architectur
paste <( uniq -f Quantity File | cut -f Number ) <( tac File | uniq -f Quantity | tac | cut -f Number ),paste <( uniq -f quantity file | cut -f number ) <( tac file | uniq -f quantity | tac | cut -f number ),join line of _REGEX field _NUMBER and _NUMBER of line discard adjac line ignor first _NUMBER field with field _NUMBER to end of line discard adjac line ignor _NUMBER last field
chown Regex File -R,chown regex file -r,recurs chang owner and group of all file in _DIRECTORY to _REGEX
crontab -l | sed -r -e Program | crontab File,crontab -l | sed -r -e program | crontab file,for everi cron job with a comment _REGEX at end of it crontab entri chang schedul hour to _NUMBER
find Path -atime +Timespan,find path -atime +timespan,find all file and directori under _FILE that were access more than _TIMESPAN ago
find ${backuppath} -mtime -10 > file.list,find ${backuppath} -mtime -10 > file.list,search directori given as variabl _REGEX recurs for file that were last modifi less than _TIMESPAN ago and save list of them to _FILE
"mpv --no-audio `ls ~/Down/other/*.{mp4,flv} --color=never`","mpv --no-audio `ls ~/down/other/*.{mp4,flv} --color=never`",run _REGEX command for each _FILE and _FILE file in a current folder
find Path -type f -name Regex,find path -type f -name regex,search current directori tree for a regular file name _REGEX
find Path -type f -links Quantity -print,find path -type f -links quantity -print,find all symbol link under current directori that are not hard link
find Path -name Regex,find path -name regex,look for _FILE file on system
cp File $( mktemp Regex ),cp file $( mktemp regex ),copi _REGEX to collect folder with uniqu name format like _REGEX
$( dirname Regex ),$( dirname regex ),print directori where execut script is locat
env | sed -n Program,env | sed -n program,list all environ variabl whose name or valu contain current user 's login name
"find Path -printf ""%T@ %p\n"" | sort -n | head - Quantity | cut -d Regex -f Number | xargs -I {} ls -a -l {}","find path -printf ""%t@ %p\n"" | sort -n | head - quantity | cut -d regex -f number | xargs -i {} ls -a -l {}",display a long list of oldest file under _FILE directori tree
find Path -size +Size -type f | xargs -r -I {} ls -S -s -h {},find path -size +size -type f | xargs -r -i {} ls -s -s -h {},find all file in current directori tree with size bigger than _SIZE and sort them by size
find Path -empty -exec rm {} \;,find path -empty -exec rm {} \;,delet all empti file in current directori
watch -n 1 --color python -m unittest discover 2>&1 | pyrg,watch -n 1 --color python -m unittest discover 2>&1 | pyrg,execut _REGEX everi second and display with color support
find Path -perm Permission -exec chmod Permission {} \;,find path -perm permission -exec chmod permission {} \;,chang permiss to _NUMBER of multipl file with permiss _NUMBER
find Path -name Regex,find path -name regex,display all file in home folder which begin with _REGEX and end with _REGEX
pwd -P,pwd -p,print current work directori with resolv symbol link
diff <(ssh server1 rpm -qa | sort) <(ssh server2 rpm -qa | sort),diff <(ssh server1 rpm -qa | sort) <(ssh server2 rpm -qa | sort),check if _REGEX and _REGEX same list of _FILE instal
find Path ! -perm Permission,find path ! -perm permission,find file and directori that not write permiss for group and other
find Path -mtime +Timespan -and -mtime -Timespan -print0,find path -mtime +timespan -and -mtime -timespan -print0,display all file in current folder that are at least one week old but less _TIMESPAN old
ping -n Regex Regex | find Path,ping -n regex regex | find path,error is for dos
cat -v File,cat -v file,print flow of random data show all non-print charact
who --ips File | grep Regex,who --ips file | grep regex,use _FILE and print ip and search for _FILE
find Path -mindepth Quantity -type f -execdir mv {} $( dirname {} ) \;,find path -mindepth quantity -type f -execdir mv {} $( dirname {} ) \;,find all regular file start from level _NUMBER of directori tree _FILE and move them one level up
"screen -L bash -c (while :; do tail ~/screenlog.0 | grep -o ""[0-9]*%"" | tail -1; done | zenity --progress --auto-close &); 7z a ""output.zip"" ""/path/to/input""","screen -l bash -c (while :; do tail ~/screenlog.0 | grep -o ""[0-9]*%"" | tail -1; done | zenity --progress --auto-close &); 7z a ""output.zip"" ""/path/to/input""",backup a directori with a zeniti progress bar
find Path -not -user Regex,find path -not -user regex,find all file that aren 't own by user www-data
find Path -type f -ctime -Timespan,find path -type f -ctime -timespan,display all file in folder _FILE which been chang in _TIMESPAN
find /path/to/directory -type d ! -name . -prune -exec printf x ; | wc -c,find /path/to/directory -type d ! -name . -prune -exec printf x ; | wc -c,display count of all directori in a folder exclud hidden file
uname -a date,uname -a date,save system inform append with current date in _REGEX variabl
md5sum File | cut -f Number -d Regex,md5sum file | cut -f number -d regex,calcul _REGEX sum of file _REGEX and print onli hash
$ join -j 2 -o 1.1 1.2 2.1 <(sort 1) <(sort -k2 2),$ join -j 2 -o 1.1 1.2 2.1 <(sort 1) <(sort -k2 2),for each line whose second field is same in both file output first field of second file second field of first file and first field of second file
ln -s File Regex,ln -s file regex,creat a symbol link name _FILE to _FILE
grep --include Regex -n -R -H -I Regex File,grep --include regex -n -r -h -i regex file,recurs from current folder search onli file that name match _FILE pattern ignor binari file and print file name befor everi string that contain _REGEX
find Path -name Regex -print0 | xargs -0 -I {} grep -n -H Regex {} | grep Regex,find path -name regex -print0 | xargs -0 -i {} grep -n -h regex {} | grep regex,find all makefil 's in current directori tree and look for line _NUMBER in each of them
find Path -name Regex -ok rm {} \;,find path -name regex -ok rm {} \;,remov all _FILE file in home directori tree with confirm
find Path -type f -exec grep -i -l Regex \;,find path -type f -exec grep -i -l regex \;,find all regular file in current directori and search for word mail and display file name
uname -n date +%F,uname -n date +%f,save network node hostnam append with _REGEX current date and _FILE into variabl _REGEX
gzip -c -d Regex | awk Program,gzip -c -d regex | awk program,unzip _FILE to standard output and save all line match _REGEX to file with a _NUMBER limit
cat File | wc -l,cat file | wc -l,count all line in _REGEX file
find Path -type f -exec ln -s {} Regex \;,find path -type f -exec ln -s {} regex \;,creat a symbol link in directori _REGEX for each file in _REGEX directori tree
ping -c Quantity Regex,ping -c quantity regex,send one ping request to local machin
find Path -type f | awk -F Regex Program,find path -type f | awk -f regex program,print a list of _FILE directori tree
find Path -type f -name Regex | grep Regex File File,find path -type f -name regex | grep regex file file,search for pattern _FILE in file _FILE _FILE
tmux attach -t $(echo stuff),tmux attach -t $(echo stuff),dynam defin tmux session name to attach to
env | grep Regex,env | grep regex,list all environ variabl whose name start with path show name and valu of each one
find Path -user Regex,find path -user regex,find everi file under directori _FILE own by user joe
cd $( find Path -name Regex -printf %h ),cd $( find path -name regex -printf %h ),find _FILE under current directori and chang directori to it parent
find Path -type f -name Regex | xargs -I {} tar -c -v -f File File {},find path -type f -name regex | xargs -i {} tar -c -v -f file file {},archiv all _REGEX file use tar
find Path -type f -size -Size -exec rm {} +,find path -type f -size -size -exec rm {} +,remov file that are less than _SIZE in size under current directori
"find -maxdepth 1 -name *.sql -exec cat {} ; | sed -e s/ , );/1,1);/g | mysql -D ootp","find -maxdepth 1 -name *.sql -exec cat {} ; | sed -e s/ , );/1,1);/g | mysql -d ootp",find all _FILE file in maximum _NUMBER level down current directori process it with sed and send output to a mysql command
echo -e Regex | sort -t Regex -g | tail -n Quantity,echo -e regex | sort -t regex -g | tail -n quantity,save numer greater valu of _REGEX and _REGEX into variabl _REGEX
shred -u File,shred -u file,overwrit file _REGEX with random content truncat and delet it
"find . -name * -exec sh -c chgrp -v new_group ""$0"" ; chmod -v 770 ""$0"" {} ;","find . -name * -exec sh -c chgrp -v new_group ""$0"" ; chmod -v 770 ""$0"" {} ;",chang group to _REGEX and permiss to _NUMBER for all file in current folder _REGEX is input to sub shell i.e name of file
gzip -d -c Regex Regex | awk Program,gzip -d -c regex regex | awk program,use awk command _REGEX on compress file _FILE and _FILE
find Path -name Regex -print0 | xargs -0 -I {} grep Regex {},find path -name regex -print0 | xargs -0 -i {} grep regex {},search _FILE file from current directori tree for string _REGEX
echo Regex | cut -c Number | md5sum,echo regex | cut -c number | md5sum,discard first letter from everi line in _REGEX and calcul _REGEX sum of remain
mkdir Directory,mkdir directory,make directori _REGEX
find Path -name Regex -exec sed -i Program {} \;,find path -name regex -exec sed -i program {} \;,find all configur file in home directori _REGEX substitut perman in file
"mount Regex -o remount,ro","mount regex -o remount,ro",remount _FILE as read onli
echo -e Regex | tr -d Regex,echo -e regex | tr -d regex,interpret backslash sequenc and delet whitespac charact in variabl _REGEX and save result to variabl _REGEX
find . -type f -printf %P\n > outputfile,find . -type f -printf %p\n > outputfile,find all file under current directori and write path without lead _DIRECTORY in file outputfil
chmod +Permission $( which Regex ),chmod +permission $( which regex ),add read and execut permiss to command _REGEX
